_id,consulta,respuesta.nombre,respuesta.posicion,respuesta.altura_metros,respuesta.peso_libras,respuesta.equipo_id,respuesta.estadisticas,respuesta.nombre_equipo,respuesta.abreviacion_equipo,respuesta.ciudad_equipo,respuesta.conferencia_equipo,respuesta.division_equipo,respuesta.partidos_jugados,respuesta.minutos_jugados_promedio_por_partido,respuesta.canasta_encestada_promedio_por_partido,respuesta.tiro_3puntos_encestados_promedio_por_partido,respuesta.tiros_libres_encestados_promedio_por_partido,respuesta.rebotes_ofensivos_promedio_por_partido,respuesta.rebotes_defensivos_promedio_por_partido,respuesta.asistencias_promedio_por_partido,respuesta.recuperacion_balon_promedio_por_partido,respuesta.tiros_taponados_promedio_por_partido,respuesta.perdida_balon_promedio_por_partido,respuesta.faltas_personales_promedio_por_partido,respuesta.puntos_anotados_promedio_por_partido,respuesta.porcentaje_tiros_encestados
64e619c006571c06e3743822,malcolm brogdon,Malcolm Brogdon,Base y Escolta,1.96,229,2,,Boston Celtics,BOS,Boston,East,Atlantic,67,26:02,5.28,1.97,2.39,0.63,3.55,3.7,0.67,0.27,1.46,1.63,14.93,0.484
64e619c206571c06e3743823,d'angelo russell,D'Angelo Russell,Base y Escolta,1.96,198,14,,Los Angeles Lakers,LAL,Los Angeles,West,Pacific,72,32:22,6.19,2.69,2.49,0.49,2.54,6.18,0.99,0.42,2.6,1.94,17.57,0.466
64e619c306571c06e3743824,tobias harris,Tobias Harris,Alero,2.06,235,23,,Philadelphia 76ers,PHI,Philadelphia,East,Atlantic,74,32:57,5.72,1.7,1.53,0.91,4.82,2.51,0.92,0.54,1.2,2.01,14.66,0.501
64e619c506571c06e3743825,fred vanvleet,Fred VanVleet,Base y Escolta,1.83,195,28,,Toronto Raptors,TOR,Toronto,East,Atlantic,70,36:48,6.36,3.06,3.67,0.43,3.74,7.19,1.77,0.56,2.04,2.81,19.44,0.392
64e619c606571c06e3743826,ja morant,Ja Morant,Base y Escolta,No se dispone de esta información,,15,,Memphis Grizzlies,MEM,Memphis,West,Southwest,61,31:57,9.28,1.51,6.1,1,4.85,8.08,1.08,0.26,3.38,1.64,26.16,0.466
64e619c706571c06e3743827,lonzo ball,Lonzo Ball,Base y Escolta,1.98,190,5,No se dispone de las estadisticas de este jugador en la temporada actual,Chicago Bulls,CHI,Chicago,East,Central,,,,,,,,,,,,,,
64e619c906571c06e3743828,chris boucher,Chris Boucher,Alero,2.08,200,28,,Toronto Raptors,TOR,Toronto,East,Atlantic,77,19:52,3.39,0.81,1.66,2.04,3.44,0.38,0.61,0.82,0.53,1.87,9.25,0.492
64e619cb06571c06e3743829,collin sexton,Collin Sexton,Base y Escolta,1.88,190,29,,Utah Jazz,UTA,Utah,West,Northwest,48,23:51,4.94,1,3.4,0.77,1.42,2.88,0.56,0.13,1.77,2.33,14.27,0.506
64e619cc06571c06e374382a,pascal siakam,Pascal Siakam,Alero,2.06,230,28,,Toronto Raptors,TOR,Toronto,East,Atlantic,72,37:25,8.93,1.31,5.17,1.85,6,5.85,0.92,0.5,2.39,3.21,24.33,0.482
64e619cd06571c06e374382b,rj barrett,RJ Barrett,Alero y Base,No se dispone de esta información,,20,,New York Knicks,NYK,New York,East,Atlantic,73,33:57,6.99,1.66,3.97,0.82,4.22,2.75,0.42,0.21,2.25,2.45,19.6,0.434
